onset	duration	offset	trial	item	RT	response
51.5232	7.163093100069091	58.68629310006909	1	att	6.57014540000819	5.0
58.691	8.175678199855597	66.8666781998556	1	past	3.7859711998608	3.0
66.8678	5.464912000112207	72.33271200011221	1	fut	2.93944149999879	7.0
72.3264	3.742405500030202	76.06880550003021	1	self	2.39038369990885	5.0
76.0704	2.5122846001758887	78.5826846001759	1	ppl	0.994747700169683	4.0
78.575	6.583680799929397	85.1586807999294	1	arou	3.88015490001999	3.0
85.156	4.311335099860699	89.4673350998607	1	aff	2.99012079997919	4.0
89.4696	4.926996399882	94.396596399882	1	eng	2.1267305999063	3.0
94.4002	4.065277699847002	98.465477699847	1	mvmt	2.29491549986415	7.0
98.4604	7.315701100043995	105.776101100044	1	delib	2.97828870010562	3.0
105.7882	4.496196800145	110.284396800145	1	image	2.77844860008918	3.0
110.2706	4.658670999807995	114.929270999808	1	ling	1.60467579984106	6.0
114.943	5.358136900001995	120.30113690000199	1	conf	4.29016880015843	5.0
173.153	9.446586699923984	182.59958669992398	2	att	7.02107399981469	3.0
182.5888	5.632888699881988	188.22168869988198	2	past	2.03054409986362	3.0
188.2266	3.2562569000289727	191.48285690002896	2	fut	1.44094670005143	7.0
191.4764	3.5284810999879994	195.004881099988	2	self	1.8749907000456	4.0
195.0194	3.453783300007018	198.473183300007	2	ppl	1.60009610000998	5.0
198.4648	7.0433573001070044	205.508157300107	2	arou	4.29683060012758	6.0
205.5046	5.1578001000449945	210.662400100045	2	aff	1.46329140011221	4.0
210.6692	7.290137099801001	217.959337099801	2	eng	1.39780939999036	3.0
217.9602	3.941231099888995	221.90143109988898	2	mvmt	1.45333439996466	7.0
221.8998	3.7017520999069973	225.601552099907	2	delib	1.88111849990673	7.0
225.6032	4.057746300008006	229.660946300008	2	image	1.94210790004581	3.0
229.6522	2.252885799854994	231.905085799855	2	ling	1.19961539981887	3.0
231.9198	5.200430700089015	237.12023070008902	2	conf	2.86736560007557	7.0
285.951	7.563759600044989	293.514759600045	3	att	3.0598204000853	7.0
293.5268	4.929237899836039	298.456037899836	3	past	1.28015329991467	7.0
298.4418	3.7329453998249846	302.174745399825	3	fut	1.23027559998445	6.0
302.1802	4.180400799960012	306.36060079996	3	self	1.11583449994214	4.0
306.3544	6.46243890002404	312.81683890002404	3	ppl	1.74515879992396	4.0
312.8244	5.176842299987982	318.001242299988	3	arou	1.02617740002461	7.0
318.0028	4.960955599789031	322.963755599789	3	aff	1.45783179998398	5.0
322.9682	6.393297499976995	329.361497499977	3	eng	2.16781540005468	4.0
329.3552	4.97327830013802	334.32847830013804	3	mvmt	2.52846350008622	8.0
334.3204	6.830212000059021	341.150612000059	3	delib	1.13746610004455	4.0
341.1626	8.157013399991968	349.31961339999197	3	image	6.75381659995764	3.0
349.3174	4.026455199810982	353.343855199811	3	ling	1.6558284999337	4.0
353.3376	3.7743504999669995	357.111950499967	3	conf	1.85480240010656	7.0
415.9624	10.497116300044013	426.459516300044	4	att	2.8634254001081	9.0
426.4476	8.731568899937031	435.17916889993705	4	past	1.64127249992453	2.0
435.1884	3.1732703999149976	438.361670399915	4	fut	1.21165860001929	9.0
438.355	4.283295099855991	442.638295099856	4	self	1.13053019996732	5.0
442.6378	3.4408032998899785	446.07860329989	4	ppl	1.20850549987517	6.0
446.0858	3.953438299940956	450.03923829994096	4	arou	1.91680009989068	8.0
450.034	3.9014402001629946	453.935440200163	4	aff	1.01433000015095	4.0
453.9374	5.081179500091025	459.01857950009105	4	eng	1.0811652999837	3.0
459.0188	4.231709099840032	463.25050909984003	4	mvmt	2.21236229990609	9.0
463.2504	6.734850099775997	469.985250099776	4	delib	2.69782869983464	2.0
469.9782	4.983729000203027	474.96192900020304	4	image	0.947001300053671	4.0
474.9628	4.467624299927024	479.43042429992704	4	ling	2.86443299986422	5.0
479.4426	5.021853100042961	484.464453100043	4	conf	2.76853720005602	5.0
542.3546	7.172191200078942	549.526791200079	5	att	3.87202910007909	9.0
549.5206	4.297573100076988	553.8181731000769	5	past	1.08027669996955	5.0
553.8234	4.664748999987978	558.488148999988	5	fut	0.91092549986206	6.0
558.4876	6.764346899930047	565.2519468999301	5	self	1.07975920010358	4.0
565.2486	7.1026120998431	572.3512120998431	5	ppl	1.60234229988419	6.0
572.3522	3.8998255999759976	576.252025599976	5	arou	0.964561200002208	8.0
576.257	7.11114940000698	583.3681494000069	5	aff	1.01872060005553	6.0
583.373	5.620488200103978	588.993488200104	5	eng	1.21720489999279	3.0
588.9916	3.4191093000119963	592.410709300012	5	mvmt	1.06170479999855	7.0
592.4118	6.599839200032989	599.011639200033	5	delib	3.45982989994809	8.0
599.0024	5.602193599799989	604.6045935998	5	image	0.926076299976557	3.0
604.6176	3.703699699836079	608.3212996998361	5	ling	1.15843349997886	3.0
608.3086	5.057514699873991	613.366114699874	5	conf	2.67088190000504	8.0
672.243	5.972165100044094	678.2151651000441	6	att	2.58469059993513	5.0
678.2206	3.8842039001179955	682.104803900118	6	past	1.36342910001986	7.0
682.0992	4.951420099940037	687.05062009994	6	fut	0.829630599822849	7.0
687.0568	4.018056300002968	691.0748563000029	6	self	1.19218280003406	7.0
691.0798	5.311891900142996	696.391691900143	6	ppl	1.31784639996476	4.0
696.3858	7.8527669000909555	704.238566900091	6	arou	1.14867390017025	7.0
704.2298	10.167157799937058	714.396957799937	6	aff	5.67987779993564	4.0
714.397	7.9166764998800545	722.3136764998801	6	eng	2.59737359988503	3.0
722.315	3.467231599847082	725.7822315998471	6	mvmt	2.05109809990972	7.0
725.7806	3.0334484998600146	728.8140484998601	6	delib	0.896860599983484	7.0
728.8168	3.13448970019806	731.951289700198	6	image	1.0482406001538	5.0
731.956	6.550923999865063	738.5069239998651	6	ling	1.54234819998965	3.0
738.4992	3.900617799954034	742.399817799954	6	conf	1.25644599995576	7.0
