onset	duration	offset	trial	item	RT	response
49.5314	8.050543599994896	57.581943599994894	1	att	5.35213469999144	8.0
57.5818	3.3450848999783034	60.926884899978305	1	past	0.787536500021815	4.0
60.9252	2.1985155000002976	63.123715500000294	1	fut	1.06827420002082	5.0
63.1242	2.965686800016499	66.0898868000165	1	self	1.20929710002383	7.0
66.0938	2.437316900002699	68.5311169000027	1	ppl	0.869257499987725	7.0
68.525	4.9559653999749	73.4809653999749	1	arou	1.08800150000025	7.0
73.4886	1.9643669999786084	75.45296699997861	1	aff	0.479522400011774	3.0
75.4406	4.318001400039094	79.7586014000391	1	eng	0.30740250000963	6.0
79.7682	2.436546400014805	82.2047464000148	1	mvmt	0.31614750000881	8.0
82.1984	3.9045968999848952	86.1029968999849	1	delib	0.972265899996273	3.0
86.1062	2.3865163999730044	88.492716399973	1	image	0.805746999976691	8.0
88.5008	1.422554899996996	89.923354899997	1	ling	0.352265299996361	9.0
89.9138	2.12674149998999	92.04054149998998	1	conf	1.08029279997572	7.0
150.9568	2.695279199978984	153.65207919997897	2	att	1.37483240000438	8.0
153.648	7.07486239995302	160.72286239995302	2	past	2.25868029997218	2.0
160.7226	1.472797000024002	162.195397000024	2	fut	0.391847899998538	8.0
162.203	3.036322399973983	165.239322399974	2	self	1.04769449995365	6.0
165.2404	0.6472460000070157	165.887646000007	2	ppl	0.325794700009283	5.0
165.8824	5.484078999958001	171.366478999958	2	arou	1.54286869999487	7.0
171.3616	2.0267124000230012	173.388312400023	2	aff	0.796699800004717	3.0
173.4	3.0963826000219967	176.496382600022	2	eng	0.550322200055234	7.0
176.496	1.9691842999890241	178.46518429998903	2	mvmt	0.598360300005879	3.0
178.4574	2.468886599992004	180.926286599992	2	delib	0.454314599977806	7.0
180.9268	2.713954899984003	183.640754899984	2	image	1.61867910000728	6.0
183.651	1.7634938000120144	185.41449380001202	2	ling	0.443443100026343	9.0
185.4138	2.28858389996401	187.70238389996402	2	conf	1.11826449999353	3.0
249.551	6.316495100035979	255.86749510003597	3	att	3.3033654000028	4.0
255.8648	6.760719800018023	262.625519800018	3	past	1.02279949997319	3.0
262.6264	6.324378799995998	268.950778799996	3	fut	4.19577859999845	7.0
268.9516	2.473430200014036	271.425030200014	3	self	1.35274840000784	7.0
271.4286	2.4874859999980004	273.916085999998	3	ppl	0.825177399965469	6.0
273.9224	2.221782599982987	276.14418259998297	3	arou	1.0790048999479	2.0
276.1468	3.1019136999969987	279.248713699997	3	aff	0.592851999972481	6.0
279.2446	2.8201691000139704	282.06476910001396	3	eng	1.13150710001355	7.0
282.058	2.444783000043003	284.502783000043	3	mvmt	0.706879500008654	3.0
284.5036	2.7721269999750007	287.275726999975	3	delib	0.642002200009301	3.0
287.277	6.260362100030022	293.53736210003	3	image	0.682527100027073	1.0
293.5452	1.8201957000420066	295.36539570004203	3	ling	0.31335609999951	9.0
295.3708	2.3499138999609954	297.72071389996097	3	conf	1.12818389997119	6.0
350.5578	9.027830599981996	359.585630599982	4	att	4.83781840000302	6.0
359.5854	3.1369213999710155	362.722321399971	4	past	0.989024400012568	1.0
362.7138	2.035981599998024	364.749781599998	4	fut	0.45783400000073	7.0
364.7566	3.6363294000040014	368.392929400004	4	self	1.34750810003607	6.0
368.3894	1.2752523000240217	369.66465230002404	4	ppl	0.507519800041337	6.0
369.6658	2.820038900013003	372.485838900013	4	arou	1.08978689997457	8.0
372.484	4.128974699997002	376.612974699997	4	aff	0.467832499998622	3.0
376.6104	2.309044799999981	378.9194448	4	eng	0.931643299991265	7.0
378.9216	2.2156375999909983	381.137237599991	4	mvmt	0.526383799966425	3.0
381.1334	2.511542799999006	383.644942799999	4	delib	0.530632200010587	1.0
383.6408	2.228292999963003	385.869092999963	4	image	0.341020499996375	7.0
385.8748	1.8340350000069634	387.70883500000696	4	ling	0.834449999965727	7.0
387.7112	1.935645500024009	389.646845500024	4	conf	0.999643900024239	8.0
450.5506	2.4605295000360456	453.011129500036	5	att	1.31859640002949	1.0
453.0158	3.4545569000190426	456.47035690001906	5	past	1.61926459998358	2.0
456.4696	2.164866799953984	458.634466799954	5	fut	0.318683299992699	7.0
458.6388	2.3232032000090044	460.962003200009	5	self	1.15399690001504	9.0
460.9612	1.9445036000110463	462.90570360001107	5	ppl	0.839240000001155	1.0
462.9056	3.577206599991996	466.482806599992	5	arou	1.23091769998427	6.0
466.4704	2.4619258000159903	468.932325800016	5	aff	1.38270040001953	2.0
468.941	2.957658300001981	471.89865830000196	5	eng	0.626068599987775	7.0
471.8974	2.1815416000320056	474.078941600032	5	mvmt	0.801866099995095	3.0
474.0824	1.8571424999969963	475.939542499997	5	delib	0.384892000001855	2.0
475.9352	4.283724200037966	480.218924200038	5	image	0.486807800014503	3.0
480.2224	1.4346339000039734	481.65703390000397	5	ling	0.316335700044874	9.0
481.6552	2.3411843999639927	483.996384399964	5	conf	1.13965169998119	8.0
543.8488	2.5758465999970213	546.424646599997	6	att	1.46127819997491	1.0
546.4216	2.436235599976044	548.857835599976	6	past	0.658451800001785	1.0
548.8672	4.653578999976048	553.5207789999761	6	fut	1.11992189998273	6.0
553.5088	2.462316600023996	555.971116600024	6	self	1.49324090004666	8.0
555.9704	2.535599199997023	558.5059991999971	6	ppl	1.25230290001491	2.0
558.521	3.959234700015031	562.480234700015	6	arou	1.92825430002995	3.0
562.4744	2.0152256999870133	564.489625699987	6	aff	0.938633500016294	3.0
564.489	7.128357900014976	571.617357900015	6	eng	0.415711799985729	8.0
571.6148	2.313864300028058	573.928664300028	6	mvmt	1.08428900002036	2.0
573.9332	3.764412900025036	577.6976129000251	6	delib	0.756562900030985	7.0
577.6934	2.233660300028987	579.927060300029	6	image	0.390771400008816	1.0
579.9212	1.2206616000039503	581.141861600004	6	ling	0.304582699958701	8.0
581.1524	1.786403600009976	582.9388036000099	6	conf	1.04270370001905	7.0
