onset	duration	offset	trial	item	RT	response
60.5202	6.03598399995829	66.5561839999583	1	att	3.58696669992059	9.0
66.5656	5.961057299980894	72.5266572999809	1	past	2.98783289990388	1.0
72.5156	8.380040299845803	80.89564029984581	1	fut	3.15351799991913	9.0
80.8978	5.025452799862194	85.9232527998622	1	self	2.52944229985587	9.0
85.9192	4.005945499985998	89.925145499986	1	ppl	1.89239050005563	1.0
89.9342	7.867053100140993	97.801253100141	1	arou	4.95831020013429	7.0
97.7924	4.568052899790999	102.360452899791	1	aff	2.81883029988967	7.0
102.375	5.679509500042002	108.054509500042	1	eng	2.51340749999508	3.0
108.0494	4.91918500000601	112.96858500000602	1	mvmt	3.75672710011713	7.0
112.9662	5.472993300062996	118.439193300063	1	delib	3.17959790001623	9.0
118.4462	5.366506400052003	123.81270640005201	1	image	2.11636930005625	8.0
123.8084	4.707089399918999	128.515489399919	1	ling	1.09929729998112	3.0
128.51	11.177070199976981	139.68707019997697	1	conf	2.36075789993629	7.0
192.5518	5.480263500008988	198.03206350000897	2	att	3.80062069999985	9.0
198.0334	4.716993599898018	202.75039359989802	2	past	2.94783459999599	1.0
202.7514	3.7368753999470243	206.488275399947	2	fut	2.00179889984429	9.0
206.4842	2.862316799816	209.346516799816	2	self	1.19053899985738	9.0
209.3506	3.146778100169996	212.49737810016998	2	ppl	1.36827690014616	1.0
212.4896	8.430676399963005	220.920276399963	2	arou	1.8428028000053	7.0
220.9266	3.955680799903007	224.88228079990301	2	aff	2.03286759997718	7.0
224.8864	7.963616199791005	232.850016199791	2	eng	2.34356139996089	3.0
232.8514	4.477173899999002	237.32857389999901	2	mvmt	2.4783542000223	8.0
237.3186	3.6054096999569936	240.924009699957	2	delib	1.76150839985348	9.0
240.9328	3.4652559999370283	244.39805599993701	2	image	1.41160520003177	9.0
244.4024	2.7832951000900152	247.18569510009002	2	ling	1.04389329999685	1.0
247.1842	4.665754999964975	251.84995499996498	2	conf	1.51648380002007	9.0
301.7526	8.037091000006	309.789691000006	3	att	3.28951180004515	9.0
309.7938	5.50902769994002	315.30282769994	3	past	3.86951769981533	1.0
315.2922	4.329985700081977	319.62218570008196	3	fut	2.20838670013472	9.0
319.6336	5.119468500139021	324.753068500139	3	self	2.86262989998795	9.0
