onset	duration	offset	trial	item	RT	response
54.5256	3.470710200024797	57.996310200024794	1	att	1.89902310003527	7.0
58.0036	5.582209699903601	63.5858096999036	1	past	3.42986269993708	1.0
63.578	3.909389600041294	67.4873896000413	1	fut	0.96049040008802	9.0
67.4964	4.61687229992819	72.11327229992818	1	self	2.28776889992878	9.0
72.1048	2.464987199986396	74.5697871999864	1	ppl	0.951331999967806	6.0
74.5718	5.2941932999528944	79.86599329995289	1	arou	1.90694579994306	7.0
79.8796	2.695120900054505	82.5747209000545	1	aff	0.858435400063172	7.0
82.574	5.543030699947607	88.1170306999476	1	eng	1.5163942000363	4.0
88.1164	6.187220099964009	94.30362009996401	1	mvmt	2.83838630001992	7.0
94.2952	5.062534500029997	99.35773450002999	1	delib	2.79991130006965	4.0
99.3646	5.1878643999810095	104.552464399981	1	image	2.81594689993653	7.0
104.5442	3.6154783000239945	108.159678300024	1	ling	1.23340989998542	9.0
108.1658	3.4659133000540123	111.63171330005402	1	conf	1.74311359995045	9.0
161.5526	5.267287599971013	166.81988759997103	2	att	3.5143601000309	3.0
166.828	6.370687399990999	173.198687399991	2	past	3.99770969990641	2.0
173.1874	6.386374700000005	179.5737747	2	fut	1.36833369999658	7.0
179.5746	5.01460440002802	184.58920440002802	2	self	2.01482839998789	8.0
184.5888	3.0691033999899844	187.65790339998998	2	ppl	1.78262070007622	2.0
187.6708	6.898519500041999	194.569319500042	2	arou	4.81346700002905	7.0
194.57	2.41622230003199	196.98622230003198	2	aff	1.31488550000358	6.0
196.9824	7.699553700047005	204.68195370004702	2	eng	2.94229260005523	7.0
204.683	3.37034570006702	208.053345700067	2	mvmt	1.6632434000494	7.0
208.0574	6.5203835999130035	214.577783599913	2	delib	2.57140789995901	4.0
214.57	5.592801499996	220.162801499996	2	image	3.47869170003105	6.0
220.1618	2.551628499990983	222.71342849999098	2	ling	1.69276959996205	6.0
222.7216	3.337383000063994	226.058983000064	2	conf	1.29046060005203	9.0
277.9524	4.803920099976949	282.75632009997696	3	att	1.60671670001466	8.0
282.7652	12.006612700060998	294.771812700061	3	past	4.25931480003055	4.0
294.76	8.30135620001198	303.06135620001197	3	fut	4.40225549996831	4.0
303.0686	3.8158381000390023	306.884438100039	3	self	1.96977279998828	7.0
306.8848	3.9273835000349777	310.81218350003496	3	ppl	1.64794009993784	3.0
310.8088	6.656638999935012	317.46543899993503	3	arou	2.6245770000387	7.0
317.4732	4.87594840000304	322.34914840000306	3	aff	2.71441809996031	5.0
322.342	6.163517000038041	328.505517000038	3	eng	3.8837967000436	4.0
328.5164	4.203068400033999	332.719468400034	3	mvmt	1.50634209997952	3.0
332.7076	3.908547900034989	336.616147900035	3	delib	2.43824379995931	3.0
336.6156	6.281120199942961	342.89672019994293	3	image	3.34253319993149	4.0
342.9108	3.4955852000269942	346.406385200027	3	ling	1.8649899000302	8.0
346.4	4.380370499916012	350.780370499916	3	conf	1.24829759995919	7.0
399.6484	4.6367571000009775	404.28515710000096	4	att	2.69768440001644	6.0
404.2892	4.4653356999630205	408.754535699963	4	past	2.50234370003454	1.0
408.7526	7.802992400015	416.555592400015	4	fut	0.881006100098602	4.0
416.5582	4.299436600063984	420.857636600064	4	self	2.47526360000484	9.0
420.855	2.2850628999290166	423.14006289992903	4	ppl	1.05593599996064	4.0
423.133	7.830534299952035	430.963534299952	4	arou	2.97719150001649	7.0
430.9648	3.087828200078036	434.05262820007806	4	aff	2.33442770002875	5.0
434.0608	8.648068299982981	442.70886829998295	4	eng	2.95688829990104	7.0
442.7086	4.089309699950036	446.79790969995	4	mvmt	1.8612126999069	3.0
446.7922	5.984595500049011	452.776795500049	4	delib	2.68524370004889	4.0
452.777	7.995113899931027	460.772113899931	4	image	2.05827389995102	4.0
460.7808	3.72634499997298	464.507144999973	4	ling	1.41974080004729	9.0
464.4976	3.271862199996008	467.769462199996	4	conf	1.49905360001139	9.0
518.6446	3.5909189000959714	522.2355189000959	5	att	2.33612680004444	7.0
522.2414	5.456192900076985	527.697592900077	5	past	3.71109840006102	3.0
527.7036	3.003181100008078	530.7067811000081	5	fut	1.15741290000733	7.0
530.6934	6.075362000031987	536.768762000032	5	self	3.11810069996864	3.0
536.775	4.389422600040916	541.1644226000409	5	ppl	1.35808280005585	8.0
541.1646	4.151768099982064	545.316368099982	5	arou	2.45230409991927	7.0
